Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-21 15:03:30.523799+0900 0x16b5     Activity    0x5bdb3              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:30.651347+0900 0x16b5     Activity    0x5bdb4              439    0    PriTypeV2: (InputMethodKit) Inserting text
2026-04-21 15:03:30.655428+0900 0x16b5     Activity    0x5bdb5              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:30.663864+0900 0x16b5     Activity    0x5bdb6              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:30.709635+0900 0x16b5     Activity    0x5bdb7              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:30.714773+0900 0x16b5     Activity    0x5bdb8              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:30.776112+0900 0x16b5     Activity    0x5bdb9              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:30.780816+0900 0x16b5     Activity    0x5bdba              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:30.926369+0900 0x16b5     Activity    0x5bdbb              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:30.933003+0900 0x16b5     Activity    0x5bdbc              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:30.959637+0900 0x16b5     Activity    0x5bdbd              439    0    PriTypeV2: (InputMethodKit) Inserting text
2026-04-21 15:03:30.963916+0900 0x16b5     Activity    0x5bdbe              439    0    PriTypeV2: (InputMethodKit) Setting marked text
2026-04-21 15:03:30.971171+0900 0x16b5     Activity    0x5bdbf              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:31.059666+0900 0x16b5     Activity    0x5bdc0              439    0    PriTypeV2: (InputMethodKit) Inserting text
2026-04-21 15:03:31.073749+0900 0x16b5     Activity    0x5bdc1              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
